ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
0.000000,0.000000,0.839707,-0.839707,-3.300000,0.839618,-0.023178,248.092743,0.000000
0.000000,0.000000,0.839707,-0.839707,-3.300000,0.839620,-0.014458,248.252197,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840242,0.020437,248.748779,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840501,0.025801,248.771423,0.000000
0.000000,0.000000,0.838095,-0.840513,-3.300000,0.838790,-0.063496,247.495575,0.000000
0.000000,0.000000,0.837289,-0.838095,-3.300000,0.837502,-0.101217,247.105743,0.000000
0.000000,0.000000,0.840513,-0.837289,-3.300000,0.839454,0.028030,249.049255,0.000000
0.000000,0.000000,0.845348,-0.840513,-3.300000,0.843903,0.229074,251.701416,0.000000
0.000000,0.000000,0.837289,-0.845348,-3.300000,0.839641,-0.051775,247.384979,0.000000
0.000000,0.000000,0.840513,-0.837289,-3.300000,0.840136,-0.013977,248.075928,0.000000
0.000000,0.000000,0.844542,-0.840513,-3.300000,0.843360,0.140961,250.246063,0.000000
0.000000,0.000000,0.841319,-0.844542,-3.300000,0.842237,0.036640,248.560333,0.000000
0.000000,0.000000,0.840513,-0.841319,-3.300000,0.841054,-0.036110,247.566528,0.000000
0.000000,0.000000,0.838095,-0.840513,-3.300000,0.838756,-0.134092,246.353333,0.000000
0.000000,0.000000,0.837289,-0.838095,-3.300000,0.837295,-0.155901,246.343628,0.000000
0.000000,0.000000,0.840513,-0.837289,-3.300000,0.839249,-0.006826,248.663971,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840173,0.042849,249.287842,0.000000
0.000000,0.000000,0.841319,-0.840513,-3.300000,0.841145,0.075403,249.606903,0.000000
0.000000,0.000000,0.839707,-0.841319,-3.300000,0.840291,0.009380,248.535461,0.000000
0.000000,0.000000,0.839707,-0.839707,-3.300000,0.839884,-0.013533,248.211517,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840312,0.011251,248.580322,0.000000
0.000000,0.000000,0.841319,-0.840513,-3.300000,0.841089,0.043772,249.001404,0.000000
0.000000,0.000000,0.838901,-0.841319,-3.300000,0.839589,-0.042358,247.738037,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.840154,-0.001720,248.396301,0.000000
0.000000,0.000000,0.836484,-0.840513,-3.300000,0.837431,-0.128088,246.657288,0.000000
0.000000,0.000000,0.843736,-0.836484,-3.300000,0.841747,0.120180,250.308838,0.000000
0.000000,0.000000,0.840513,-0.843736,-3.300000,0.841171,0.052868,249.100647,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840828,0.016684,248.521698,0.000000
0.000000,0.000000,0.842125,-0.840513,-3.300000,0.841832,0.056229,249.057922,0.000000
0.000000,0.000000,0.839707,-0.842125,-3.300000,0.840412,-0.031834,247.764526,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840394,-0.023468,247.981903,0.000000
0.000000,0.000000,0.839707,-0.840513,-3.300000,0.839819,-0.042809,247.777039,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840214,-0.009287,248.326477,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840410,0.003778,248.514587,0.000000
0.000000,0.000000,0.839707,-0.840513,-3.300000,0.839900,-0.021048,248.159515,0.000000
0.000000,0.000000,0.839707,-0.839707,-3.300000,0.839699,-0.022650,248.173950,0.000000
0.000000,0.000000,0.838901,-0.839707,-3.300000,0.839046,-0.044266,247.907257,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.840012,0.017929,248.826965,0.000000
0.000000,0.000000,0.838901,-0.840513,-3.300000,0.839242,-0.022741,248.201630,0.000000
0.000000,0.000000,0.838901,-0.838901,-3.300000,0.838928,-0.028307,248.152466,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.840026,0.034718,249.046143,0.000000
0.000000,0.000000,0.838901,-0.840513,-3.300000,0.839292,-0.010389,248.328796,0.000000
0.000000,0.000000,0.839707,-0.838901,-3.300000,0.839572,0.006981,248.577454,0.000000
0.000000,0.000000,0.839707,-0.839707,-3.300000,0.839693,0.011076,248.603485,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840332,0.037533,248.935516,0.000000
0.000000,0.000000,0.835678,-0.840513,-3.300000,0.836989,-0.132090,246.529022,0.000000
0.000000,0.000000,0.839707,-0.835678,-3.300000,0.838635,-0.007822,248.496033,0.000000
0.000000,0.000000,0.844542,-0.839707,-3.300000,0.842994,0.201759,251.337341,0.000000
0.000000,0.000000,0.839707,-0.844542,-3.300000,0.841121,0.042988,248.741272,0.000000
0.000000,0.000000,0.841319,-0.839707,-3.300000,0.841381,0.036276,248.626801,0.000000
0.000000,0.000000,0.838901,-0.841319,-3.300000,0.839640,-0.060860,247.270325,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.840113,-0.019581,248.004059,0.000000
0.000000,0.000000,0.835678,-0.840513,-3.300000,0.836772,-0.169518,245.995544,0.000000
0.000000,0.000000,0.838901,-0.835678,-3.300000,0.837878,-0.056988,247.872742,0.000000
0.000000,0.000000,0.842125,-0.838901,-3.300000,0.840872,0.107058,250.172333,0.000000
0.000000,0.000000,0.840513,-0.842125,-3.300000,0.840908,0.073256,249.446899,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840818,0.042419,248.886597,0.000000
0.000000,0.000000,0.838095,-0.840513,-3.300000,0.838917,-0.063007,247.378815,0.000000
0.000000,0.000000,0.840513,-0.838095,-3.300000,0.839922,0.005243,248.463623,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840375,0.024958,248.716827,0.000000
0.000000,0.000000,0.838095,-0.840513,-3.300000,0.838755,-0.059988,247.505646,0.000000
0.000000,0.000000,0.838901,-0.838095,-3.300000,0.838696,-0.041735,247.882416,0.000000
0.000000,0.000000,0.839707,-0.838901,-3.300000,0.839331,0.004082,248.572693,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840220,0.045677,249.109711,0.000000
0.000000,0.000000,0.838901,-0.840513,-3.300000,0.839371,-0.009634,248.246765,0.000000
0.000000,0.000000,0.841319,-0.838901,-3.300000,0.840787,0.059774,249.223236,0.000000
0.000000,0.000000,0.837289,-0.841319,-3.300000,0.838362,-0.074949,247.254120,0.000000
0.000000,0.000000,0.838901,-0.837289,-3.300000,0.838552,-0.040184,247.895599,0.000000
0.000000,0.000000,0.838095,-0.838901,-3.300000,0.838104,-0.045429,247.879272,0.000000
0.000000,0.000000,0.838901,-0.838095,-3.300000,0.838571,-0.005676,248.485016,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.839997,0.065186,249.431274,0.000000
0.000000,0.000000,0.843736,-0.840513,-3.300000,0.842950,0.181343,250.873657,0.000000
0.000000,0.000000,0.838901,-0.843736,-3.300000,0.840453,-0.001259,248.025024,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.840487,-0.003319,248.072632,0.000000
0.000000,0.000000,0.838901,-0.840513,-3.300000,0.839299,-0.060026,247.342255,0.000000
0.000000,0.000000,0.838901,-0.838901,-3.300000,0.838835,-0.062004,247.464386,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.839906,0.010208,248.579254,0.000000
0.000000,0.000000,0.839707,-0.840513,-3.300000,0.839788,0.001856,248.430298,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840330,0.026609,248.765472,0.000000
0.000000,0.000000,0.839707,-0.840513,-3.300000,0.839942,-0.001070,248.333282,0.000000
0.000000,0.000000,0.838901,-0.839707,-3.300000,0.839167,-0.037481,247.844940,0.000000
0.000000,0.000000,0.838901,-0.838901,-3.300000,0.838866,-0.038277,247.909790,0.000000
0.000000,0.000000,0.839707,-0.838901,-3.300000,0.839384,0.000477,248.502686,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840224,0.040819,249.033508,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840552,0.042240,248.960938,0.000000
0.000000,0.000000,0.838095,-0.840513,-3.300000,0.838849,-0.052969,247.577667,0.000000
0.000000,0.000000,0.835678,-0.838095,-3.300000,0.836351,-0.151537,246.341095,0.000000
0.000000,0.000000,0.838901,-0.835678,-3.300000,0.837821,-0.027191,248.322784,0.000000
0.000000,0.000000,0.838095,-0.838901,-3.300000,0.837956,-0.007118,248.579041,0.000000
0.000000,0.000000,0.838095,-0.838095,-3.300000,0.838045,0.002741,248.671967,0.000000
0.000000,0.000000,0.838901,-0.838095,-3.300000,0.838691,0.034721,249.057129,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.840141,0.092190,249.740265,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840674,0.084879,249.444916,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840788,0.058474,248.939789,0.000000
0.000000,0.000000,0.845348,-0.840513,-3.300000,0.844324,0.200287,250.819489,0.000000
0.000000,0.000000,0.838901,-0.845348,-3.300000,0.840857,-0.037291,247.229584,0.000000
0.000000,0.000000,0.841319,-0.838901,-3.300000,0.841084,-0.020205,247.660767,0.000000
0.000000,0.000000,0.838901,-0.841319,-3.300000,0.839404,-0.095341,246.737091,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.839956,-0.038210,247.759369,0.000000
0.000000,0.000000,0.839707,-0.840513,-3.300000,0.839665,-0.038595,247.837158,0.000000
0.000000,0.000000,0.839707,-0.839707,-3.300000,0.839589,-0.028391,248.054352,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840195,0.010757,248.636993,0.000000
0.000000,0.000000,0.838901,-0.840513,-3.300000,0.839268,-0.035639,247.963654,0.000000
0.000000,0.000000,0.839707,-0.838901,-3.300000,0.839495,-0.011797,248.352783,0.000000
0.000000,0.000000,0.842930,-0.839707,-3.300000,0.842009,0.111252,250.043701,0.000000
0.000000,0.000000,0.840513,-0.842930,-3.300000,0.841211,0.034733,248.762482,0.000000
0.000000,0.000000,0.840513,-0.840513,-3.300000,0.840787,0.000528,248.259308,0.000000
0.000000,0.000000,0.838901,-0.840513,-3.300000,0.839389,-0.066734,247.364502,0.000000
0.000000,0.000000,0.838901,-0.838901,-3.300000,0.838840,-0.069454,247.475830,0.000000
0.000000,0.000000,0.838901,-0.838901,-3.300000,0.838694,-0.050642,247.856262,0.000000
0.000000,0.000000,0.840513,-0.838901,-3.300000,0.839904,0.025980,248.974091,0.000000
0.000000,0.000000,0.839707,-0.840513,-3.300000,0.839834,0.015556,248.741272,0.000000
0.000000,0.000000,0.838901,-0.839707,-3.300000,0.839188,-0.019266,248.215179,0.000000
0.000000,0.000000,0.839707,-0.838901,-3.300000,0.839520,0.003944,248.558105,0.000000
0.000000,0.000000,0.840513,-0.839707,-3.300000,0.840268,0.038670,249.006775,0.000000
0.000000,0.000000,0.839707,-0.840513,-3.300000,0.839961,0.011086,248.540497,0.000000
0.000000,0.000000,0.837289,-0.839707,-3.300000,0.838012,-0.084257,247.213531,0.000000
0.000000,0.000000,0.839707,-0.837289,-3.300000,0.839034,-0.006168,248.449036,0.000000
0.000000,0.000000,0.841319,-0.839707,-3.300000,0.840713,0.076498,249.561615,0.000000
0.000000,0.000000,0.841319,-0.841319,-3.300000,0.841376,0.081079,249.457001,0.000000
0.000000,0.000000,0.839707,-0.841319,-3.300000,0.840363,0.003586,248.253021,0.000000
0.000000,0.000000,0.844542,-0.839707,-3.300000,0.843465,0.145195,250.230042,0.000000
0.000000,0.000000,0.838901,-0.844542,-3.300000,0.840484,-0.048218,247.324402,0.000000
0.000000,0.000000,0.838095,-0.838901,-3.300000,0.838573,-0.124870,246.447632,0.000000
0.000000,0.000000,0.840513,-0.838095,-3.300000,0.839661,-0.030815,248.012085,0.000000
0.000000,0.000000,0.838095,-0.840513,-3.300000,0.838417,-0.076859,247.421021,0.000000
