ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000444,0.988658,0.011786,-2.213737,0.988658,0.001999,133.964844
1.000000,0.999831,0.988569,0.011262,-2.179794,0.988569,-0.010498,132.113281
1.000000,1.000449,0.988599,0.011851,-2.207561,0.988599,0.009613,133.456055
1.000000,0.999837,0.988730,0.011106,-2.191174,0.988730,0.023285,132.138672
1.000000,1.000455,0.988738,0.011717,-2.139016,0.988738,-0.009460,129.692383
1.000000,0.999842,0.988639,0.011203,-2.147267,0.988639,-0.012939,130.202148
1.000000,1.000460,0.988765,0.011695,-2.181859,0.988765,0.031815,131.476562
1.000000,0.999848,0.988981,0.010867,-2.136341,0.988981,0.024750,128.796875
1.000000,1.000466,0.988956,0.011510,-2.087565,0.988956,-0.019653,126.778320
1.000000,0.999853,0.988828,0.011025,-2.108738,0.988828,-0.011215,127.839844
1.000000,1.000471,0.988929,0.011542,-2.128893,0.988929,0.028992,128.336914
1.000000,0.999858,0.988911,0.010947,-2.045174,0.988911,-0.011078,124.015625
1.000000,1.000477,0.989214,0.011263,-2.156017,0.989214,0.043381,129.663086
1.000000,0.999864,0.989158,0.010706,-1.994712,0.989158,-0.011032,120.962891
1.000000,1.000482,0.988897,0.011585,-2.019224,0.988897,-0.052917,123.317383
1.000000,0.999869,0.988883,0.010986,-2.098290,0.988883,0.035049,126.330078
1.000000,1.000488,0.988977,0.011510,-1.998233,0.988977,0.011261,120.831055
1.000000,0.999875,0.988953,0.010922,-2.003036,0.988953,-0.020355,121.661133
1.000000,1.000493,0.989038,0.011456,-2.045386,0.989038,0.029068,123.316406
1.000000,0.999880,0.989005,0.010875,-1.948591,0.989005,-0.009918,118.191406
1.000000,1.000499,0.989296,0.011203,-2.060421,0.989296,0.038879,124.006836
1.000000,0.999886,0.989229,0.010657,-1.905406,0.989229,-0.010056,115.581055
1.000000,1.000504,0.989171,0.011333,-1.969089,0.989171,-0.022034,119.697266
1.000000,0.999891,0.988909,0.010983,-1.970110,0.989171,-0.022034,119.697266
1.000000,1.000510,0.988999,0.011510,-1.969080,0.989171,-0.022034,119.697266
1.000000,0.999897,0.988972,0.010925,-1.970101,0.989171,-0.022034,119.697266
1.000000,1.000515,0.989161,0.011355,-1.969071,0.989171,-0.022034,119.697266
1.000000,0.999902,0.989324,0.010578,-1.970092,0.989171,-0.022034,119.697266
1.000000,1.000521,0.989466,0.011054,-1.969062,0.989171,-0.022034,119.697266
1.000000,0.999908,0.989271,0.010637,-1.970083,0.989171,-0.022034,119.697266
1.000000,1.000526,0.989208,0.011318,-1.969052,0.989171,-0.022034,119.697266
1.000000,0.999913,0.989259,0.010654,-1.970074,0.989171,-0.022034,119.697266
1.000000,1.000532,0.989197,0.011334,-1.969043,0.989171,-0.022034,119.697266
1.000000,0.999919,0.989250,0.010669,-1.970065,0.989171,-0.022034,119.697266
1.000000,1.000537,0.989190,0.011348,-1.969034,0.989171,-0.022034,119.697266
1.000000,0.999924,0.989349,0.010575,-1.970056,0.989171,-0.022034,119.697266
1.000000,1.000543,0.989382,0.011161,-1.969025,0.989171,-0.022034,119.697266
1.000000,0.999930,0.989304,0.010626,-1.970047,0.989171,-0.022034,119.697266
1.000000,1.000548,0.989237,0.011312,-1.969016,0.989171,-0.022034,119.697266
1.000000,0.999935,0.989284,0.010651,-1.970037,0.989171,-0.022034,119.697266
1.000000,1.000554,0.989219,0.011335,-1.969007,0.989171,-0.022034,119.697266
1.000000,0.999941,0.989057,0.010884,-1.970028,0.989171,-0.022034,119.697266
1.000000,1.000559,0.989128,0.011431,-1.968998,0.989171,-0.022034,119.697266
1.000000,0.999946,0.989508,0.010438,-1.970019,0.989171,-0.022034,119.697266
1.000000,1.000565,0.989520,0.011045,-1.968989,0.989171,-0.022034,119.697266
1.000000,0.999952,0.989105,0.010846,-1.970010,0.989171,-0.022034,119.697266
1.000000,1.000570,0.989170,0.011400,-1.968979,0.989171,-0.022034,119.697266
1.000000,0.999957,0.989120,0.010837,-1.970001,0.989171,-0.022034,119.697266
1.000000,1.000576,0.989077,0.011499,-1.968970,0.989171,-0.022034,119.697266
1.000000,0.999963,0.989039,0.010924,-1.969992,0.989171,-0.022034,119.697266
1.000000,1.000581,0.989113,0.011468,-1.968961,0.989171,-0.022034,119.697266
1.000000,0.999968,0.989176,0.010792,-1.969983,0.989171,-0.022034,119.697266
1.000000,1.000587,0.989232,0.011355,-1.968952,0.989171,-0.022034,119.697266
1.000000,0.999974,0.989280,0.010694,-1.969973,0.989171,-0.022034,119.697266
1.000000,1.000592,0.989215,0.011377,-1.968943,0.989171,-0.022034,119.697266
1.000000,0.999979,0.989160,0.010820,-1.969964,0.989171,-0.022034,119.697266
1.000000,1.000597,0.989111,0.011487,-1.968934,0.989171,-0.022034,119.697266
1.000000,0.999985,0.989175,0.010810,-1.969955,0.989171,-0.022034,119.697266
1.000000,1.000603,0.989124,0.011479,-1.968925,0.989171,-0.022034,119.697266
1.000000,0.999990,0.988656,0.011334,-1.969946,0.989171,-0.022034,119.697266
1.000000,1.000608,0.988674,0.011935,-1.968915,0.989171,-0.022034,119.697266
1.000000,0.999996,0.988901,0.011094,-1.969937,0.989171,-0.022034,119.697266
1.000000,1.000613,0.988887,0.011726,-1.968908,0.989171,-0.022034,119.697266
1.000000,0.999999,0.988874,0.011125,-1.969931,0.989171,-0.022034,119.697266
1.000000,1.000614,0.988863,0.011751,-1.968906,0.989171,-0.022034,119.697266
1.000000,0.999998,0.988854,0.011144,-1.969933,0.989171,-0.022034,119.697266
1.000000,1.000613,0.988846,0.011767,-1.968908,0.989171,-0.022034,119.697266
1.000000,0.999997,0.988838,0.011158,-1.969935,0.989171,-0.022034,119.697266
1.000000,1.000612,0.988938,0.011673,-1.968910,0.989171,-0.022034,119.697266
1.000000,0.999995,0.989131,0.010864,-1.969937,0.989171,-0.022034,119.697266
1.000000,1.000610,0.989193,0.011418,-1.968912,0.989171,-0.022034,119.697266
1.000000,0.999994,0.990095,0.009899,-1.969939,0.989171,-0.022034,119.697266
1.000000,1.000609,0.989924,0.010686,-1.968914,0.989171,-0.022034,119.697266
1.000000,0.999993,0.989668,0.010325,-1.969941,0.989171,-0.022034,119.697266
1.000000,1.000608,0.989553,0.011055,-1.968916,0.989171,-0.022034,119.697266
1.000000,0.999992,0.989240,0.010752,-1.969943,0.989171,-0.022034,119.697266
1.000000,1.000607,0.989075,0.011532,-1.968918,0.989171,-0.022034,119.697266
1.000000,0.999991,0.989462,0.010529,-1.969945,0.989171,-0.022034,119.697266
1.000000,1.000606,0.989798,0.010807,-1.968920,0.989171,-0.022034,119.697266
1.000000,0.999989,0.989666,0.010324,-1.969947,0.989171,-0.022034,119.697266
1.000000,1.000604,0.989444,0.011160,-1.968922,0.989171,-0.022034,119.697266
1.000000,0.999988,0.989358,0.010630,-1.969949,0.989171,-0.022034,119.697266
1.000000,1.000603,0.989283,0.011320,-1.968924,0.989171,-0.022034,119.697266
1.000000,0.999987,0.989218,0.010769,-1.969951,0.989171,-0.022034,119.697266
1.000000,1.000602,0.989056,0.011546,-1.968926,0.989171,-0.022034,119.697266
1.000000,0.999986,0.988915,0.011071,-1.969953,0.989171,-0.022034,119.697266
1.000000,1.000601,0.988899,0.011702,-1.968928,0.989171,-0.022034,119.697266
1.000000,0.999985,0.988672,0.011313,-1.969955,0.989171,-0.022034,119.697266
1.000000,1.000600,0.988688,0.011912,-1.968930,0.989171,-0.022034,119.697266
1.000000,0.999983,0.988807,0.011176,-1.969957,0.989171,-0.022034,119.697266
