time,position,ref
0.033333333,0,1.65
0.066666667,0,1.65
0.1,0,1.65
0.133333333,0,1.65
0.166666667,0,1.65
0.2,0,1.65
0.233333333,0,1.65
0.266666667,0,1.65
0.3,0,1.65
0.333333333,0,1.65
0.366666667,0,1.65
0.4,0,1.65
0.433333333,0,1.65
0.466666667,0,1.65
0.5,0,1.65
0.533333333,0,1.65
0.566666667,0,1.65
0.6,0,1.65
0.633333333,0,1.65
0.666666667,0,1.65
0.7,0,1.65
0.733333333,0,1.65
0.766666667,0,1.65
0.8,0,1.65
0.833333333,0,1.65
0.866666667,0,1.65
0.9,0,1.65
0.933333333,0,1.65
0.966666667,0,1.65
1,0,1.65
1.033333333,0,1.65
1.066666667,0,1.65
1.1,0,1.65
1.133333333,0,1.65
1.166666667,0,1.65
1.2,0,1.65
1.233333333,0,1.65
1.266666667,0,1.65
1.3,0,1.65
1.333333333,0,1.65
1.366666667,0,1.65
1.4,0,1.65
1.433333333,0,1.65
1.466666667,0,1.65
1.5,0,1.65
1.533333333,0,1.65
1.566666667,0,1.65
1.6,0,1.65
1.633333333,0,1.65
1.666666667,0,1.65
1.7,0,1.65
1.733333333,0,1.65
1.766666667,0,1.65
1.8,0,1.65
1.833333333,0,1.65
1.866666667,0,1.65
1.9,0,1.65
1.933333333,0,1.65
1.966666667,0,1.65
2,0,1.65
2.033333333,0,1.65
2.066666667,0,1.65
2.1,0,1.65
2.133333333,0,1.65
2.166666667,0,1.65
2.2,0,1.65
2.233333333,0,1.65
2.266666667,0,1.65
2.3,0,1.65
2.333333333,0,1.65
2.366666667,0,1.65
2.4,0,1.65
2.433333333,0,1.65
2.466666667,0,1.65
2.5,0,1.65
2.533333333,0,1.65
2.566666667,0,1.65
2.6,0,1.65
2.633333333,0,1.65
2.666666667,0,1.65
2.7,0,1.65
2.733333333,0,1.65
2.766666667,0,1.65
2.8,0,1.65
2.833333333,0,1.65
2.866666667,0,1.65
2.9,0,1.65
2.933333333,0,1.65
2.966666667,0,1.65
3,0,1.65
3.033333333,0,1.65
3.066666667,0,1.65
