ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000166,1.012701,-0.012536,1.159034,0.999275,0.175919,-72.795410
1.000000,0.999550,1.011887,-0.012337,1.158007,0.999275,0.175919,-72.795410
1.000000,1.000165,1.011604,-0.011440,1.159032,0.999275,0.175919,-72.795410
1.000000,0.999548,1.013058,-0.013510,1.158005,0.999275,0.175919,-72.795410
1.000000,1.000163,1.012940,-0.012777,1.159030,0.999275,0.175919,-72.795410
1.000000,0.999547,1.012837,-0.013290,1.158003,0.999275,0.175919,-72.795410
1.000000,1.000162,1.012642,-0.012480,1.159028,0.999275,0.175919,-72.795410
1.000000,0.999546,1.012366,-0.012820,1.158001,0.999275,0.175919,-72.795410
1.000000,1.000161,1.012339,-0.012178,1.159026,0.999275,0.175919,-72.795410
1.000000,0.999545,1.012953,-0.013408,1.157999,0.999275,0.175919,-72.795410
1.000000,1.000160,1.013167,-0.013007,1.159024,0.999275,0.175919,-72.795410
1.000000,0.999544,1.012928,-0.013385,1.157997,0.999275,0.175919,-72.795410
1.000000,1.000159,1.012933,-0.012775,1.159022,0.999275,0.175919,-72.795410
1.000000,0.999542,1.012619,-0.013077,1.157995,0.999275,0.175919,-72.795410
1.000000,1.000157,1.013090,-0.012933,1.159020,0.999275,0.175919,-72.795410
1.000000,0.999541,1.013499,-0.013957,1.157993,0.999275,0.175919,-72.795410
1.000000,1.000156,1.013216,-0.013060,1.159018,0.999275,0.175919,-72.795410
1.000000,0.999540,1.013077,-0.013537,1.157991,0.999275,0.175919,-72.795410
1.000000,1.000155,1.012638,-0.012483,1.159016,0.999275,0.175919,-72.795410
1.000000,0.999539,1.012150,-0.012611,1.157989,0.999275,0.175919,-72.795410
1.000000,1.000154,1.012258,-0.012104,1.159014,0.999275,0.175919,-72.795410
1.000000,0.999538,1.012988,-0.013451,1.157987,0.999275,0.175919,-72.795410
1.000000,1.000153,1.012879,-0.012727,1.159012,0.999275,0.175919,-72.795410
1.000000,0.999536,1.014165,-0.014629,1.157985,0.999275,0.175919,-72.795410
1.000000,1.000151,1.014007,-0.013856,1.159010,0.999275,0.175919,-72.795410
1.000000,0.999535,1.012914,-0.013379,1.157983,0.999275,0.175919,-72.795410
1.000000,1.000150,1.012603,-0.012453,1.159008,0.999275,0.175919,-72.795410
1.000000,0.999534,1.012438,-0.012904,1.157981,0.999275,0.175919,-72.795410
1.000000,1.000149,1.013889,-0.013740,1.159006,0.999275,0.175919,-72.795410
1.000000,0.999533,1.015041,-0.015509,1.157979,0.999275,0.175919,-72.795410
1.000000,1.000148,1.014556,-0.014408,1.159004,0.999275,0.175919,-72.795410
1.000000,0.999532,1.013709,-0.014178,1.157977,0.999275,0.175919,-72.795410
1.000000,1.000147,1.013399,-0.013252,1.159002,0.999275,0.175919,-72.795410
1.000000,0.999530,1.013342,-0.013812,1.157975,0.999275,0.175919,-72.795410
1.000000,1.000145,1.012655,-0.012510,1.159000,0.999275,0.175919,-72.795410
1.000000,0.999529,1.012590,-0.013061,1.157973,0.999275,0.175919,-72.795410
1.000000,1.000144,1.011790,-0.011646,1.158998,0.999275,0.175919,-72.795410
1.000000,0.999528,1.011839,-0.012311,1.157972,0.999275,0.175919,-72.795410
1.000000,1.000143,1.011669,-0.011526,1.158996,0.999275,0.175919,-72.795410
1.000000,0.999527,1.012477,-0.012951,1.157969,0.999275,0.175919,-72.795410
1.000000,1.000142,1.012330,-0.012188,1.158994,0.999275,0.175919,-72.795410
1.000000,0.999526,1.012414,-0.012888,1.157967,0.999275,0.175919,-72.795410
1.000000,1.000141,1.013230,-0.013089,1.158993,0.999275,0.175919,-72.795410
1.000000,0.999524,1.013726,-0.014202,1.157966,0.999275,0.175919,-72.795410
1.000000,0.999523,1.014176,-0.014653,1.157964,0.999275,0.175919,-72.795410
1.000000,1.000138,1.013698,-0.013560,1.158988,0.999275,0.175919,-72.795410
1.000000,0.999522,1.013390,-0.013867,1.157961,0.999275,0.175919,-72.795410
1.000000,1.000137,1.012378,-0.012241,1.158987,0.999275,0.175919,-72.795410
1.000000,0.999521,1.012350,-0.012829,1.157960,0.999275,0.175919,-72.795410
1.000000,1.000136,1.012643,-0.012507,1.158985,0.999275,0.175919,-72.795410
1.000000,0.999520,1.012580,-0.013060,1.157958,0.999275,0.175919,-72.795410
1.000000,1.000135,1.012737,-0.012602,1.158983,0.999275,0.175919,-72.795410
1.000000,0.999519,1.012449,-0.012930,1.157956,0.999275,0.175919,-72.795410
1.000000,1.000134,1.012092,-0.011959,1.158981,0.999275,0.175919,-72.795410
1.000000,0.999517,1.011570,-0.012053,1.157954,0.999275,0.175919,-72.795410
1.000000,1.000132,1.011542,-0.011410,1.158979,0.999275,0.175919,-72.795410
1.000000,0.999516,1.011730,-0.012214,1.157952,0.999275,0.175919,-72.795410
1.000000,1.000131,1.011680,-0.011549,1.158977,0.999275,0.175919,-72.795410
1.000000,0.999515,1.011744,-0.012229,1.157950,0.999275,0.175919,-72.795410
1.000000,1.000130,1.012011,-0.011881,1.158975,0.999275,0.175919,-72.795410
1.000000,0.999514,1.011925,-0.012411,1.157948,0.999275,0.175919,-72.795410
1.000000,1.000129,1.011956,-0.011827,1.158973,0.999275,0.175919,-72.795410
1.000000,0.999513,1.011346,-0.011833,1.157946,0.999275,0.175919,-72.795410
1.000000,1.000128,1.011666,-0.011538,1.158971,0.999275,0.175919,-72.795410
1.000000,0.999511,1.012474,-0.012963,1.157944,0.999275,0.175919,-72.795410
1.000000,1.000126,1.012752,-0.012625,1.158969,0.999275,0.175919,-72.795410
1.000000,0.999510,1.012674,-0.013164,1.157942,0.999275,0.175919,-72.795410
1.000000,1.000125,1.012606,-0.012481,1.158967,0.999275,0.175919,-72.795410
1.000000,0.999509,1.012972,-0.013463,1.157940,0.999275,0.175919,-72.795410
1.000000,1.000124,1.012866,-0.012742,1.158965,0.999275,0.175919,-72.795410
1.000000,0.999508,1.011817,-0.012309,1.157938,0.999275,0.175919,-72.795410
1.000000,1.000123,1.012181,-0.012058,1.158963,0.999275,0.175919,-72.795410
1.000000,0.999507,1.011435,-0.011928,1.157936,0.999275,0.175919,-72.795410
1.000000,1.000122,1.011424,-0.011303,1.158961,0.999275,0.175919,-72.795410
1.000000,0.999505,1.011734,-0.012228,1.157934,0.999275,0.175919,-72.795410
1.000000,1.000120,1.010941,-0.010820,1.158959,0.999275,0.175919,-72.795410
1.000000,0.999504,1.011101,-0.011597,1.157932,0.999275,0.175919,-72.795410
1.000000,1.000119,1.011347,-0.011228,1.158957,0.999275,0.175919,-72.795410
1.000000,0.999503,1.011348,-0.011845,1.157930,0.999275,0.175919,-72.795410
1.000000,1.000118,1.010924,-0.010806,1.158955,0.999275,0.175919,-72.795410
1.000000,0.999502,1.011087,-0.011585,1.157928,0.999275,0.175919,-72.795410
1.000000,1.000117,1.011760,-0.011643,1.158953,0.999275,0.175919,-72.795410
1.000000,0.999501,1.011706,-0.012206,1.157926,0.999275,0.175919,-72.795410
1.000000,1.000116,1.011872,-0.011757,1.158951,0.999275,0.175919,-72.795410
1.000000,0.999499,1.013185,-0.013685,1.157924,0.999275,0.175919,-72.795410
1.000000,1.000114,1.013793,-0.013679,1.158949,0.999275,0.175919,-72.795410
1.000000,0.999498,1.013578,-0.014080,1.157922,0.999275,0.175919,-72.795410
1.000000,1.000113,1.013498,-0.013384,1.158947,0.999275,0.175919,-72.795410
1.000000,0.999497,1.013852,-0.014355,1.157920,0.999275,0.175919,-72.795410
1.000000,1.000112,1.013736,-0.013624,1.158945,0.999275,0.175919,-72.795410
1.000000,0.999496,1.013634,-0.014138,1.157918,0.999275,0.175919,-72.795410
1.000000,1.000111,1.014927,-0.014816,1.158943,0.999275,0.175919,-72.795410
1.000000,0.999495,1.014562,-0.015068,1.157916,0.999275,0.175919,-72.795410
1.000000,1.000110,1.014246,-0.014136,1.158941,0.999275,0.175919,-72.795410
1.000000,0.999493,1.014396,-0.014903,1.157914,0.999275,0.175919,-72.795410
1.000000,1.000108,1.013783,-0.013674,1.158939,0.999275,0.175919,-72.795410
1.000000,0.999492,1.013357,-0.013865,1.157912,0.999275,0.175919,-72.795410
1.000000,1.000107,1.015642,-0.015534,1.158937,0.999275,0.175919,-72.795410
1.000000,0.999491,1.014333,-0.014842,1.157910,0.999275,0.175919,-72.795410
1.000000,1.000106,1.013835,-0.013729,1.158935,0.999275,0.175919,-72.795410
1.000000,0.999490,1.013508,-0.014018,1.157908,0.999275,0.175919,-72.795410
1.000000,1.000105,1.013224,-0.013119,1.158933,0.999275,0.175919,-72.795410
1.000000,0.999489,1.012978,-0.013489,1.157906,0.999275,0.175919,-72.795410
1.000000,1.000104,1.013295,-0.013191,1.158931,0.999275,0.175919,-72.795410
1.000000,0.999488,1.012615,-0.013127,1.157904,0.999275,0.175919,-72.795410
1.000000,1.000103,1.011812,-0.011709,1.158929,0.999275,0.175919,-72.795410
1.000000,0.999486,1.011964,-0.012478,1.157902,0.999275,0.175919,-72.795410
1.000000,1.000101,1.011990,-0.011889,1.158927,0.999275,0.175919,-72.795410
1.000000,0.999485,1.012012,-0.012527,1.157900,0.999275,0.175919,-72.795410
1.000000,1.000100,1.012032,-0.011932,1.158925,0.999275,0.175919,-72.795410
1.000000,0.999484,1.011730,-0.012246,1.157898,0.999275,0.175919,-72.795410
1.000000,1.000099,1.011681,-0.011582,1.158923,0.999275,0.175919,-72.795410
1.000000,0.999483,1.011744,-0.012262,1.157896,0.999275,0.175919,-72.795410
1.000000,1.000098,1.011799,-0.011701,1.158921,0.999275,0.175919,-72.795410
1.000000,0.999482,1.011741,-0.012259,1.157894,0.999275,0.175919,-72.795410
1.000000,1.000097,1.011796,-0.011700,1.158919,0.999275,0.175919,-72.795410
1.000000,0.999480,1.011738,-0.012258,1.157892,0.999275,0.175919,-72.795410
1.000000,1.000095,1.011794,-0.011698,1.158917,0.999275,0.175919,-72.795410
1.000000,0.999479,1.011842,-0.012363,1.157890,0.999275,0.175919,-72.795410
1.000000,1.000094,1.011884,-0.011790,1.158915,0.999275,0.175919,-72.795410
1.000000,0.999478,1.012770,-0.013292,1.157888,0.999275,0.175919,-72.795410
1.000000,1.000093,1.012796,-0.012703,1.158913,0.999275,0.175919,-72.795410
1.000000,0.999477,1.012819,-0.013342,1.157886,0.999275,0.175919,-72.795410
1.000000,1.000092,1.013263,-0.013171,1.158911,0.999275,0.175919,-72.795410
1.000000,0.999476,1.013012,-0.013536,1.157884,0.999275,0.175919,-72.795410
1.000000,1.000091,1.013006,-0.012915,1.158909,0.999275,0.175919,-72.795410
1.000000,0.999474,1.011939,-0.012464,1.157882,0.999275,0.175919,-72.795410
1.000000,1.000089,1.011118,-0.011029,1.158907,0.999275,0.175919,-72.795410
1.000000,0.999473,1.011256,-0.011783,1.157880,0.999275,0.175919,-72.795410
1.000000,1.000088,1.011481,-0.011393,1.158905,0.999275,0.175919,-72.795410
1.000000,0.999472,1.011465,-0.011993,1.157878,0.999275,0.175919,-72.795410
1.000000,1.000087,1.011769,-0.011682,1.158903,0.999275,0.175919,-72.795410
1.000000,0.999471,1.011821,-0.012350,1.157876,0.999275,0.175919,-72.795410
1.000000,1.000086,1.011972,-0.011886,1.158901,0.999275,0.175919,-72.795410
1.000000,0.999470,1.011997,-0.012527,1.157874,0.999275,0.175919,-72.795410
1.000000,1.000085,1.012018,-0.011934,1.158899,0.999275,0.175919,-72.795410
1.000000,0.999468,1.012993,-0.013524,1.157872,0.999275,0.175919,-72.795410
1.000000,1.000083,1.012777,-0.012694,1.158897,0.999275,0.175919,-72.795410
1.000000,0.999467,1.013545,-0.014078,1.157870,0.999275,0.175919,-72.795410
1.000000,1.000082,1.012726,-0.012644,1.158895,0.999275,0.175919,-72.795410
1.000000,0.999466,1.012545,-0.013079,1.157868,0.999275,0.175919,-72.795410
1.000000,1.000081,1.012388,-0.012307,1.158893,0.999275,0.175919,-72.795410
1.000000,0.999465,1.012465,-0.013000,1.157866,0.999275,0.175919,-72.795410
1.000000,1.000080,1.012531,-0.012451,1.158891,0.999275,0.175919,-72.795410
1.000000,0.999464,1.012376,-0.012912,1.157864,0.999275,0.175919,-72.795410
1.000000,1.000079,1.012241,-0.012163,1.158889,0.999275,0.175919,-72.795410
1.000000,0.999462,1.012125,-0.012662,1.157862,0.999275,0.175919,-72.795410
1.000000,1.000077,1.012236,-0.012158,1.158887,0.999275,0.175919,-72.795410
1.000000,0.999461,1.012332,-0.012871,1.157860,0.999275,0.175919,-72.795410
1.000000,1.000076,1.012203,-0.012127,1.158885,0.999275,0.175919,-72.795410
1.000000,0.999460,1.012304,-0.012844,1.157858,0.999275,0.175919,-72.795410
1.000000,1.000075,1.012179,-0.012104,1.158883,0.999275,0.175919,-72.795410
1.000000,0.999459,1.012177,-0.012718,1.157856,0.999275,0.175919,-72.795410
1.000000,1.000074,1.012599,-0.012525,1.158881,0.999275,0.175919,-72.795410
1.000000,0.999458,1.012542,-0.013084,1.157854,0.999275,0.175919,-72.795410
1.000000,1.000073,1.012491,-0.012419,1.158879,0.999275,0.175919,-72.795410
1.000000,0.999457,1.012448,-0.012991,1.157852,0.999275,0.175919,-72.795410
1.000000,1.000072,1.012410,-0.012339,1.158877,0.999275,0.175919,-72.795410
1.000000,0.999455,1.012377,-0.012922,1.157850,0.999275,0.175919,-72.795410
1.000000,1.000070,1.012667,-0.012597,1.158875,0.999275,0.175919,-72.795410
1.000000,0.999454,1.012813,-0.013359,1.157848,0.999275,0.175919,-72.795410
1.000000,1.000069,1.013258,-0.013189,1.158873,0.999275,0.175919,-72.795410
1.000000,0.999453,1.012901,-0.013448,1.157846,0.999275,0.175919,-72.795410
1.000000,1.000068,1.012697,-0.012629,1.158871,0.999275,0.175919,-72.795410
1.000000,0.999452,1.012627,-0.013175,1.157844,0.999275,0.175919,-72.795410
1.000000,1.000067,1.012459,-0.012392,1.158869,0.999275,0.175919,-72.795410
1.000000,0.999451,1.012420,-0.012969,1.157842,0.999275,0.175919,-72.795410
1.000000,1.000066,1.012598,-0.012532,1.158867,0.999275,0.175919,-72.795410
1.000000,0.999449,1.012753,-0.013304,1.157840,0.999275,0.175919,-72.795410
1.000000,1.000064,1.012675,-0.012611,1.158865,0.999275,0.175919,-72.795410
1.000000,0.999448,1.012820,-0.013371,1.157838,0.999275,0.175919,-72.795410
1.000000,1.000063,1.012627,-0.012563,1.158863,0.999275,0.175919,-72.795410
1.000000,0.999447,1.012778,-0.013331,1.157836,0.999275,0.175919,-72.795410
1.000000,1.000062,1.012697,-0.012635,1.158861,0.999275,0.175919,-72.795410
1.000000,0.999446,1.012626,-0.013180,1.157834,0.999275,0.175919,-72.795410
1.000000,1.000061,1.012458,-0.012398,1.158859,0.999275,0.175919,-72.795410
1.000000,0.999445,1.012313,-0.012869,1.157832,0.999275,0.175919,-72.795410
1.000000,1.000060,1.012293,-0.012233,1.158857,0.999275,0.175919,-72.795410
1.000000,0.999443,1.012807,-0.013363,1.157830,0.999275,0.175919,-72.795410
1.000000,1.000058,1.012722,-0.012663,1.158855,0.999275,0.175919,-72.795410
1.000000,0.999442,1.013285,-0.013843,1.157828,0.999275,0.175919,-72.795410
1.000000,1.000057,1.013243,-0.013186,1.158853,0.999275,0.175919,-72.795410
1.000000,0.999441,1.013313,-0.013872,1.157826,0.999275,0.175919,-72.795410
