ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,1.000305,0.995693,0.004612,1.248587,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999689,0.995846,0.003843,1.246276,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000304,0.996084,0.004220,1.248582,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999688,0.996291,0.003397,1.246271,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000303,0.996365,0.003938,1.248578,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999687,0.997278,0.002408,1.246267,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000302,0.997222,0.003080,1.248573,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999685,0.997279,0.002407,1.246263,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000300,0.997116,0.003184,1.248569,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999684,0.997293,0.002391,1.246258,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000299,0.997235,0.003064,1.248564,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999683,0.997184,0.002499,1.246253,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000298,0.996928,0.003370,1.248560,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999682,0.997342,0.002340,1.246249,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000297,0.997171,0.003126,1.248555,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999681,0.997341,0.002339,1.246245,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000296,0.997489,0.002807,1.248551,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999679,0.997511,0.002169,1.246240,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000294,0.996786,0.003508,1.248546,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999678,0.996689,0.002990,1.246236,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000293,0.996604,0.003690,1.248542,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999677,0.996955,0.002722,1.246231,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000292,0.997684,0.002608,1.248538,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999676,0.997468,0.002208,1.246227,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000291,0.996856,0.003435,1.248533,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999675,0.996961,0.002714,1.246222,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000290,0.997159,0.003131,1.248528,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999673,0.997118,0.002555,1.246218,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000288,0.996976,0.003312,1.248524,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999672,0.997066,0.002606,1.246213,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000287,0.997037,0.003250,1.248520,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999671,0.998287,0.001384,1.246209,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000286,0.998204,0.002082,1.248515,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999670,0.998025,0.001644,1.246204,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000285,0.998083,0.002202,1.248511,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999669,0.997602,0.002067,1.246200,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000284,0.997503,0.002781,1.248506,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999668,0.997523,0.002145,1.246196,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000283,0.997753,0.002530,1.248502,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999666,0.997421,0.002245,1.246191,0.993762,-0.000214,-73.436707,0.000000
1.000000,1.000281,0.996921,0.003360,1.248497,0.993762,-0.000214,-73.436707,0.000000
1.000000,0.999665,0.997018,0.002647,1.246186,0.993762,-0.000214,-73.436707,0.000000
