ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000615,1.120041,-0.119426,-1.318569,1.120136,0.027439,66.640747
1.000000,1.000000,1.120055,-0.120055,-1.315213,1.120153,0.027527,66.374512
1.000000,1.000615,1.119961,-0.119346,-1.307128,1.120083,0.023144,66.041199
1.000000,1.000000,1.119879,-0.119879,-1.301642,1.119993,0.019485,65.728943
1.000000,1.000615,1.119914,-0.119299,-1.297983,1.119994,0.022583,65.512085
1.000000,1.000000,1.119945,-0.119945,-1.296775,1.120026,0.027073,65.289429
1.000000,1.000615,1.120078,-0.119462,-1.294715,1.120146,0.033001,65.102844
1.000000,1.000000,1.120087,-0.120087,-1.290782,1.120193,0.032303,64.813904
1.000000,1.000615,1.119988,-0.119373,-1.281104,1.120122,0.024620,64.447754
1.000000,1.000000,1.120009,-0.120009,-1.277150,1.120105,0.022793,64.185364
1.000000,1.000615,1.120240,-0.119624,-1.277792,1.120279,0.032806,64.077820
1.000000,1.000000,1.120121,-0.120121,-1.271947,1.120250,0.029823,63.725098
1.000000,1.000615,1.120231,-0.119615,-1.266981,1.120318,0.029491,63.488281
1.000000,1.000000,1.120007,-0.120008,-1.257765,1.120160,0.019947,63.070862
1.000000,1.000615,1.119707,-0.119092,-1.244848,1.119869,0.007122,62.630249
1.000000,1.000000,1.119765,-0.119765,-1.245231,1.119822,0.013477,62.475586
1.000000,1.000615,1.119921,-0.119306,-1.247989,1.119953,0.029217,62.390503
1.000000,1.000000,1.119951,-0.119951,-1.246959,1.120040,0.034977,62.148987
1.000000,1.000615,1.119658,-0.119043,-1.232826,1.119839,0.020634,61.655151
1.000000,1.000000,1.119829,-0.119829,-1.231750,1.119891,0.022659,61.485352
1.000000,1.000615,1.119658,-0.119043,-1.224218,1.119781,0.020344,61.149963
1.000000,1.000000,1.119723,-0.119723,-1.222897,1.119799,0.023849,60.940735
1.000000,1.000615,1.119991,-0.119375,-1.224908,1.120021,0.036640,60.857727
1.000000,1.000000,1.119905,-0.119905,-1.219203,1.120034,0.033768,60.507202
1.000000,1.000615,1.120149,-0.119534,-1.216381,1.120214,0.036407,60.331299
1.000000,1.000000,1.120255,-0.120255,-1.213811,1.120345,0.037247,60.086487
1.000000,1.000615,1.120347,-0.119732,-1.207830,1.120446,0.035271,59.816589
1.000000,1.000000,1.120214,-0.120215,-1.198837,1.120361,0.025105,59.417114
1.000000,1.000615,1.119993,-0.119378,-1.186608,1.120146,0.012817,58.999878
1.000000,1.000000,1.120013,-0.120013,-1.184941,1.120088,0.015400,58.794983
1.000000,1.000615,1.120031,-0.119415,-1.183304,1.120100,0.023308,58.606995
1.000000,1.000000,1.120152,-0.120152,-1.184534,1.120214,0.032211,58.438599
1.000000,1.000615,1.120045,-0.119430,-1.176338,1.120175,0.028366,58.085388
1.000000,1.000000,1.120165,-0.120165,-1.174011,1.120246,0.029121,57.862732
1.000000,1.000615,1.119738,-0.119122,-1.158263,1.119934,0.012527,57.325867
1.000000,1.000000,1.119898,-0.119898,-1.158478,1.119949,0.017185,57.187256
1.000000,1.000615,1.119931,-0.119315,-1.157514,1.119995,0.026447,57.010315
1.000000,1.000000,1.119959,-0.119959,-1.155942,1.120047,0.030647,56.769470
1.000000,1.000615,1.119984,-0.119368,-1.150252,1.120085,0.030224,56.493958
1.000000,1.000000,1.120005,-0.120005,-1.146124,1.120107,0.028538,56.214478
1.000000,1.000615,1.120130,-0.119515,-1.142664,1.120206,0.031219,56.007629
1.000000,1.000000,1.120132,-0.120132,-1.138685,1.120237,0.030273,55.722229
1.000000,1.000615,1.120028,-0.119412,-1.129422,1.120159,0.023499,55.364502
1.000000,1.000000,1.119831,-0.119831,-1.060599,1.119651,-0.220264,55.855835
1.000000,1.000615,1.119873,-0.119257,-1.057501,1.119039,-0.343395,58.132202
1.000000,1.000000,1.119909,-0.119909,-1.111468,1.118727,-0.344398,61.358948
1.000000,1.000615,1.119728,-0.119112,-1.174074,1.118554,-0.311184,64.563049
1.000000,1.000000,1.119889,-0.119889,-1.239191,1.118714,-0.278454,67.770630
